county_name,region,county,marine
CLEVELAND,1,1,y
DURHAM,1,2,n
NORTHUMBERLAND,1,4,n
TYNE & WEAR,1,5,y
HUMBERSIDE,2,6,n
NORTH YORKSHIRE,2,7,n
SOUTH YORKSHIRE,2,8,n
WEST YORKSHIRE,2,9,n
CUMBRIA,3,3,n
CHESHIRE,3,43,n
GREATER MANCHESTER,3,44,n
MERSEYSIDE,3,45,y
LANCASHIRE,3,46,n
HEREFORD,5,38,n
SHROPSHIRE,5,39,n
STAFFORDSHIRE,5,40,n
WARWICKSHIRE,5,41,n
WEST MIDLANDS,5,42,n
WORCESTER,5,65,n
DERBYSHIRE,6,10,n
LEICESTERSHIRE,6,11,n
LINCOLNSHIRE,6,12,n
NORTHAMPTONSHIRE,6,13,n
NOTTINGHAMSHIRE,6,14,n
CAMBRIDGESHIRE,7,15,n
NORFOLK,7,16,n
SUFFOLK,7,17,y
BEDFORDSHIRE,7,19,n
ESSEX,7,20,y
HERTFORDSHIRE,7,21,n
GREATER LONDON,9,18,y
KENT,9,22,y
SURREY,9,23,n
EAST SUSSEX,9,24,y
WEST SUSSEX,9,25,y
BERKSHIRE,9,26,n
BUCKINGHAMSHIRE,9,27,n
HAMPSHIRE,9,28,y
ISLE OF WIGHT,9,29,y
OXFORDSHIRE,9,30,n
AVON,10,31,y
CORNWALL,10,32,n
DEVON,10,33,n
DORSET,10,34,y
GLOUCESTER,10,35,n
SOMERSET,10,36,n
WILTSHIRE,10,37,n
CLWYD,11,47,n
DYFED,11,48,y
SOUTH GLAMORGAN,11,49,y
MID GLAMORGAN,11,50,y
WEST GLAMORGAN,11,51,y
GWENT,11,52,y
GWYNEDD,11,53,y
POWYS,11,54,n
SOUTH OF SCOTLAND,12,57,n
NORTH EAST SCOTLAND,12,59,n
HIGHLANDS,12,60,n
ISLAND AREAS,12,61,n
EAST CENTRAL SCOTLAND,12,62,n
WEST CENTRAL SCOTLAND,12,63,n
TAYSIDE & FIFE,12,64,n
